category,agency,account,project,recipient,location,state,budget_request,additional_amount,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,requestor_three_full_name,requestor_three_bioguide_id,requestor_three_chamber,requestor_three_party,requestor_four_full_name,requestor_four_bioguide_id,requestor_four_chamber,requestor_four_party,requestor_five_full_name,requestor_five_bioguide_id,requestor_five_chamber,requestor_five_party,requestor_six_full_name,requestor_six_bioguide_id,requestor_six_chamber,requestor_six_party,requestor_seven_full_name,requestor_seven_bioguide_id,requestor_seven_chamber,requestor_seven_party,requestor_eight_full_name,requestor_eight_bioguide_id,requestor_eight_chamber,requestor_eight_party,requestor_nine_full_name,requestor_nine_bioguide_id,requestor_nine_chamber,requestor_nine_party
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Ridgeley Fire Station,The Ridgeley Volunteer Fire Company No. 1,,WV,,,875000,S,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Safety Complex Stair Replacement,Town of Anmoore,,WV,,,55000,S,"Joe Manchin, III",M001183,sen,Democrat,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Long Island Sound Coastal Zone Soil Survey,Natural Resources Conservation Service,,CT,,,5000000,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,River Habitat Restoration and Conservation Initiative,John G. Shedd Aquarium,,IL,,,1000000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Carbon Management and Soil Health,New Mexico State University,,NM,,,995000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Education and Agricultural Training Outreach,The National Latino Farmers and Ranchers Trade Assoc.,,NM,,,50000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Sustainable and Regenerative agriculture practices,One Generation-Indigenous Farm Hub,,NM,,,100000,S,Martin Heinrich,H001046,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Water Irrigation Infrastructure,Rio de Chama Acequia Association,,NM,,,82000,S,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Reduce Runoff Contamination in the Great Lakes,Ohio Energy and Advanced Manufacturing Center,,OH,,,263000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Tree Restoration,Western Reserve Land Conservancy,,OH,,,1500000,S,Sherrod Brown,B000944,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,McKay Irrigation Efficiency Project,Deschutes River Conservancy,,OR,,,750000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Halfmoon Creek Watershed Management Plan,Chesapeake Bay Foundation,,PA,,,1063000,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Susquehanna River Basin Restoration—Pequea Creek Watershed Plan,Chesapeake Bay Foundation,,PA,,,2184000,S,Benjamin L. Cardin,C000141,sen,Democrat,"Robert P. Casey, Jr.",C001070,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Esek Hopkins Reforestation,Scituate Rhode Island Land Trust,,RI,,,290000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Technical Assistance for Beginning Farmers,African Alliance of Rhode Island,,RI,,,84000,S,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Farmland Futures Fund,Vermont Land Trust,,VT,,,5000000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Gillett Dam Replacement,Richmond Land Trust,,VT,,,250000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Infrastructure Projects,Northern Forest Center,,VT,,,500000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Conservation Operations,Regenerative Soil Capacity and Improved Soil Health,Interlace Commons,,VT,,,500000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Rural Telemedicine Initiative,Illini Community Hospital,,IL,,,115000,S,Richard J. Durbin,D000563,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Ben Archer Health Center Telemedicine,Ben Archer Health Center,,NM,,,104000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",New Mexico State Library,New Mexico State Library,,NM,,,890000,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Telehealth Services,Vermont Program for Quality Health Care,,VT,,,500000,S,Bernard Sanders,S000033,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Distance Learning,West Virginia University,,WV,,,328000,S,Shelley Moore Capito,C001047,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Dual Enrollment Hub Sites,Shepherd University,,WV,,,111000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,"Distance Learning, Telemedicine, and Broadband Program",Pocahontas County Distance Learning,Pocahontas County Board of Education,,WV,,,462000,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",General Provisions,General Provision,National Farm to School Institute,Shelburne Farms,,VT,,,5000000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",General Provisions,General Provision,Institute for Rural Partnerships,University of Vermont,,VT,,,10000000,S,Patrick J. Leahy,L000174,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Dam No. 21 Flood Mitigation,North Sector Upper Walnut Floodwater Retarding Dam No. 21,,KS,,,450000,S,Jerry Moran,M000934,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Preliminary studies of new water supply reservoir,Kickapoo Tribe Water Supply Project,,KS,,,50000,S,Jerry Moran,M000934,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Mississippi Flood mitigation,Mississippi Watershed Operations,,MS,,,8400000,S,Cindy Hyde-Smith,H001079,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,East Fork Irrigation Modernization,East Fork Irrigation District,,OR,,,2500000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Ochoco Irrigation District Watershed Projects,Ochoco Irrigation District,,OR,,,4875000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Wallowa Lake Dam Rehabilitation Project,Wallowa Lake Irrigation District,,OR,,,2000000,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Natural Resources Conservation Service,Watershed and Flood Prevention Operations,Pocasset River Flood Damage Reduction,City of Cranston and Town of Johnston,,RI,,,5000000,S,Jack Reed,R000122,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Agricultural Research Service,Buildings and Facilities,Plant Germplasm Research Facility,"University of Wisconsin, Madison",,WI,,,39700000,H/S,Mark Pocan,P000607,rep,Democrat,Tammy Baldwin,B001230,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Superior Entrepreneurship and Innovation Center,Town of Superior,,AZ,,,2000000,H/S,Tom O’Halleran,O000171,rep,Democrat,Mike Kelly,K000376,rep,Republican,Kyrsten Sinema,S001191,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,North San Joaquin Water Conservation District,North San Joaquin Water Conservation District,,CA,,,1000000,H/S,Jerry McNerney,M001166,rep,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,LeRoy Park Safety Modernization,City of Guadalupe,,CA,,,1700000,H/S,Salud O. Carbajal,C001112,rep,Democrat,Dianne Feinstein,F000062,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,North San Juan Fire Suppresion System,County of Nevada,,CA,,,1050000,H/S,Doug LaMalfa,L000578,rep,Republican,Dianne Feinstein,F000062,sen,Democrat,Alex Padilla,P000145,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,MA’O Organic Farms Infrastructure,Wai’anae Community Redevelopment Corporation,,HI,,,896000,H/S,Kaiali’i Kahele,K000396,rep,Democrat,Mazie K. Hirono,H001042,sen,Democrat,Brian Schatz,S001194,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,4–H Innovation and Learning Center,Maine 4–H Foundation,,ME,,,450000,H/S,Chellie Pingree,P000597,rep,Democrat,"Angus S. King, Jr.",K000383,sen,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Essex County Ag and Youth Center,Essex County,,NY,,,997000,H/S,Elise M. Stefanik,S001196,rep,Republican,Kirsten E. Gillibrand,G000555,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,M–ARK Child Care Project,"M–ARK Project, Inc.",,NY,,,100000,H/S,Antonio Delgado,D000630,rep,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Royalton-Hartland Agricultural Learning Lab,Royalton-Hartland Central School District,,NY,,,515685,H/S,Chris Jacobs,J000020,rep,Republican,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Holden Community Center,City of Central Falls,,RI,,,2000000,H/S,David N. Cicilline,C001084,rep,Democrat,Jack Reed,R000122,sen,Democrat,Sheldon Whitehouse,W000802,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Port Angeles Food Bank Expansion,Port Angeles Food Bank,,WA,,,900000,H/S,Derek Kilmer,K000381,rep,Democrat,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sauk-Suiattle Community Center,Sauk-Suiattle Indian Tribe,,WA,,,210000,H/S,Suzan K. DelBene,D000617,rep,Democrat,Maria Cantwell,C000127,sen,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Agricultural Research Service,Buildings and Facilities,US Sheep Experiment Station Infrastructure Improvements,US Sheep Experiment Station,,ID,,,4200000,H,Michael K. Simpson,S001148,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Agricultural Research Service,Buildings and Facilities,National Center for Agricultural Utilization Research Expansion,National Center for Agricultural Utilization Research,,IL,,,4500000,H,Darin LaHood,L000585,rep,Republican,Cheri Bustos,B001286,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Agricultural Research Service,Buildings and Facilities,Sugarcane Research Unit Improvements,Sugarcane Research Unit,,LA,,,10000000,H,Garret Graves,G000577,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Agricultural Research Service,Buildings and Facilities,Center for Agricultural Animal Genetic Engineering and Health,University of Missouri,,MO,,,4000000,H,Blaine Luetkemeyer,L000569,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Kiana Fire Response and Equipment,City of Kiana,,AK,,,3350000,H,Todd Young,Y000064,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Kodiak Fire Station Replacement,City of Kodiak,,AK,,,7000000,H,Todd Young,Y000064,sen,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Atmore Revitalization Project,Pride of Atmore,,AL,,,885000,H,Jerry L. Carl,C001054,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Cochise County Animal Shelter,Cochise County,,AZ,,,1100000,H,Ann Kirkpatrick,K000368,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Desert Valley Senior Center,Desert Valley Senior Center,,AZ,,,16800,H,Raúl M. Grijalva,G000551,rep,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rural Development,Community Facilities,Sewer and Storm Drain Cleaner Truck,City of Anderson,,CA,,,262900,H,Doug LaMalfa,L000578,rep,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
